sample_id,timestep,feature,shap_value
1,6,return_1d,-2.90674579446204e-05
1,6,KAMA_10,0.0
1,6,SMA_20,0.0
1,6,HCL3,0.0
1,6,EMA_20,0.0
1,6,HMA_20,0.0
1,6,ATR_14,0.0
1,6,BBL_20,0.0
1,6,OBV,0.0
1,6,PVT,0.0
1,7,close_log,0.0
1,7,return_1d,0.0034557529725134373
1,7,KAMA_10,0.0
1,7,SMA_20,0.0
1,7,HCL3,0.0
1,7,EMA_20,0.0
1,7,HMA_20,0.0
1,7,ATR_14,0.0
1,7,BBL_20,0.0
1,7,OBV,0.0
1,7,PVT,0.0
1,8,close_log,0.0
1,8,return_1d,-0.001520935446023941
1,8,KAMA_10,0.0
1,8,SMA_20,0.0
1,8,HCL3,0.0
1,8,EMA_20,0.0
1,8,HMA_20,0.0
1,8,ATR_14,0.0
1,8,BBL_20,0.0
1,8,OBV,0.0
1,8,PVT,0.0
1,9,close_log,0.0
1,9,return_1d,-0.006804506294429302
1,9,KAMA_10,0.0
1,9,SMA_20,0.0
1,9,HCL3,0.0
1,9,EMA_20,0.0
1,9,HMA_20,0.0
1,9,ATR_14,0.0
1,9,BBL_20,0.0
1,9,OBV,0.0
1,9,PVT,0.0
1,10,close_log,0.0
1,10,return_1d,0.004995219875127077
1,10,KAMA_10,0.0
1,10,SMA_20,0.0
1,10,HCL3,0.0
1,10,EMA_20,0.0
1,10,HMA_20,0.0
1,10,ATR_14,0.0
1,10,BBL_20,0.0
1,10,OBV,0.0
1,10,PVT,0.0
1,11,close_log,0.0
1,11,return_1d,0.01198061928153038
1,11,KAMA_10,0.0
1,11,SMA_20,0.0
1,11,HCL3,0.0
1,11,EMA_20,0.0
1,11,HMA_20,0.0
1,11,ATR_14,0.0
1,11,BBL_20,0.0
1,11,OBV,0.0
1,11,PVT,0.0
1,12,close_log,0.0
1,12,return_1d,-0.0008012334001250565
1,12,KAMA_10,0.0
1,12,SMA_20,0.0
1,12,HCL3,0.0
1,12,EMA_20,0.0
1,12,HMA_20,0.0
1,12,ATR_14,0.0
1,12,BBL_20,0.0
1,12,OBV,0.0
1,12,PVT,0.0
1,13,close_log,0.0
1,13,return_1d,-0.005653154570609331
1,13,KAMA_10,0.0
1,13,SMA_20,0.0
1,13,HCL3,0.0
1,13,EMA_20,0.0
1,13,HMA_20,0.0
1,13,ATR_14,0.0
1,13,BBL_20,0.0
1,13,OBV,0.0
1,13,PVT,0.0
1,14,close_log,0.0
1,14,return_1d,-0.0033587419893592596
1,14,KAMA_10,0.0
1,14,SMA_20,0.0
1,14,HCL3,0.0
1,14,EMA_20,0.0
1,14,HMA_20,0.0
1,14,ATR_14,0.0
1,14,BBL_20,0.0
1,14,OBV,0.0
1,14,PVT,0.0
1,15,close_log,0.0
1,15,return_1d,-0.0017487977165728807
1,15,KAMA_10,0.0
1,15,SMA_20,0.0
1,15,HCL3,0.0
1,15,EMA_20,0.0
1,15,HMA_20,0.0
1,15,ATR_14,0.0
1,15,BBL_20,0.0
1,15,OBV,0.0
1,15,PVT,0.0
1,16,close_log,0.0
1,16,return_1d,-0.019393818452954292
1,16,KAMA_10,0.0
1,16,SMA_20,0.0
1,16,HCL3,0.0
1,16,EMA_20,0.0
1,16,HMA_20,0.0
1,16,ATR_14,0.0
