sample_id,timestep,feature,shap_value
4,0,return_1d,0.0018441699212417006
4,0,KAMA_10,0.0
4,0,SMA_20,0.0
4,0,HCL3,0.0
4,0,EMA_20,0.0
4,0,HMA_20,0.0
4,0,ATR_14,0.0
4,0,BBL_20,0.0
4,0,OBV,0.0
4,0,PVT,0.0
4,1,close_log,0.0
4,1,return_1d,-0.0009614070295356214
4,1,KAMA_10,0.0
4,1,SMA_20,0.0
4,1,HCL3,0.0
4,1,EMA_20,0.0
4,1,HMA_20,0.0
4,1,ATR_14,0.0
4,1,BBL_20,0.0
4,1,OBV,0.0
4,1,PVT,0.0
4,2,close_log,0.0
4,2,return_1d,-0.008036589249968529
4,2,KAMA_10,0.0
4,2,SMA_20,0.0
4,2,HCL3,0.0
4,2,EMA_20,0.0
4,2,HMA_20,0.0
4,2,ATR_14,0.0
4,2,BBL_20,0.0
4,2,OBV,0.0
4,2,PVT,0.0
4,3,close_log,0.0
4,3,return_1d,0.00901859626173973
4,3,KAMA_10,0.0
4,3,SMA_20,0.0
4,3,HCL3,0.0
4,3,EMA_20,0.0
4,3,HMA_20,0.0
4,3,ATR_14,0.0
4,3,BBL_20,0.0
4,3,OBV,0.0
4,3,PVT,0.0
4,4,close_log,0.0
4,4,return_1d,0.07360336184501648
4,4,KAMA_10,0.0
4,4,SMA_20,0.0
4,4,HCL3,0.0
4,4,EMA_20,0.0
4,4,HMA_20,0.0
4,4,ATR_14,0.0
4,4,BBL_20,0.0
4,4,OBV,0.0
4,4,PVT,0.0
4,5,close_log,0.0
4,5,return_1d,-0.0061336965300142765
4,5,KAMA_10,0.0
4,5,SMA_20,0.0
4,5,HCL3,0.0
4,5,EMA_20,0.0
4,5,HMA_20,0.0
4,5,ATR_14,0.0
4,5,BBL_20,0.0
4,5,OBV,0.0
4,5,PVT,0.0
4,6,close_log,0.0
4,6,return_1d,-0.00019340917060617357
4,6,KAMA_10,0.0
4,6,SMA_20,0.0
4,6,HCL3,0.0
4,6,EMA_20,0.0
