"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"29/10/2025","34,327.4","34,016.3","34,776.8","33,912.6","9.27M","1.33%"
"28/10/2025","33,878.0","33,566.9","33,878.0","33,013.8","9.04M","0.82%"
"27/10/2025","33,601.5","34,431.1","34,465.7","33,601.5","7.76M","-2.41%"
"24/10/2025","34,431.1","34,120.0","34,500.3","33,186.6","16.85M","0.20%"
"23/10/2025","34,362.0","34,569.4","34,846.0","34,292.8","12.29M","-1.58%"
"22/10/2025","34,915.1","34,915.1","34,915.1","33,532.3","16.87M","1.10%"
"21/10/2025","34,534.8","33,878.0","34,846.0","33,808.9","19.42M","2.15%"
"20/10/2025","33,808.9","36,505.3","36,920.1","33,739.7","36.32M","-6.32%"
"17/10/2025","36,090.5","37,127.5","37,473.2","36,090.5","25.77M","-2.97%"
"16/10/2025","37,196.7","37,957.2","38,026.3","36,989.3","15.87M","-1.82%"
"15/10/2025","37,888.1","37,680.6","38,164.6","37,404.1","11.70M","0.74%"
"14/10/2025","37,611.5","38,648.6","38,648.6","37,611.5","19.80M","-2.07%"
"13/10/2025","38,406.6","37,515.0","38,612.3","37,446.4","15.83M","1.45%"
"10/10/2025","37,857.9","38,200.8","38,749.5","37,652.2","19.38M","0.36%"
"09/10/2025","37,720.8","36,280.5","37,720.8","36,074.8","31.16M","3.97%"
"08/10/2025","36,280.5","35,800.4","36,623.4","35,663.3","17.32M","2.52%"
"07/10/2025","35,388.9","36,211.9","36,211.9","35,388.9","8.76M","-1.53%"
"06/10/2025","35,937.6","35,183.2","36,143.3","34,977.4","13.84M","3.15%"
"03/10/2025","34,840.3","35,183.2","35,251.8","34,497.4","11.00M","-1.36%"
"02/10/2025","35,320.3","35,526.1","35,937.6","35,114.6","12.15M","0.00%"
"01/10/2025","35,320.3","34,977.4","35,594.7","34,565.9","10.28M","1.38%"
"30/09/2025","34,840.3","34,840.3","34,977.4","34,291.6","9.40M","-0.39%"
"29/09/2025","34,977.4","34,771.7","35,114.6","34,565.9","6.35M","0.59%"
"26/09/2025","34,771.7","34,497.4","35,388.9","34,257.3","14.88M","0.80%"
"25/09/2025","34,497.4","34,634.5","34,840.3","34,360.2","6.79M","-0.40%"
"24/09/2025","34,634.5","34,085.9","34,634.5","33,811.5","7.45M","1.00%"
"23/09/2025","34,291.6","33,948.7","34,291.6","33,880.1","6.22M","1.42%"
"22/09/2025","33,811.5","34,771.7","34,908.8","33,640.1","16.89M","-3.71%"
"19/09/2025","35,114.6","35,046.0","35,251.8","34,497.4","11.77M","0.00%"
"18/09/2025","35,114.6","35,320.3","35,388.9","34,703.1","11.86M","-0.39%"
"17/09/2025","35,251.8","36,006.2","36,006.2","35,251.8","11.07M","-2.10%"
"16/09/2025","36,006.2","35,663.3","36,417.7","35,526.1","26.79M","1.74%"
"15/09/2025","35,388.9","34,703.1","35,388.9","34,257.3","18.62M","2.38%"
"12/09/2025","34,565.9","34,771.7","35,251.8","34,565.9","11.70M","-0.40%"
"11/09/2025","34,703.1","34,428.8","34,703.1","33,502.9","9.98M","0.20%"
"10/09/2025","34,634.5","34,017.3","35,251.8","34,017.3","17.34M","1.81%"
"09/09/2025","34,017.3","33,948.7","34,154.4","33,502.9","10.95M","0.20%"
"08/09/2025","33,948.7","34,291.6","34,360.2","33,640.1","21.36M","-1.59%"
"05/09/2025","34,497.4","35,114.6","35,388.9","34,497.4","16.20M","-1.37%"
"04/09/2025","34,977.4","34,703.1","35,526.1","34,565.9","13.05M","0.79%"
"03/09/2025","34,703.1","35,046.0","35,114.6","34,565.9","14.71M","-1.36%"
"29/08/2025","35,183.2","35,594.7","35,594.7","34,908.8","17.73M","-0.58%"
"28/08/2025","35,388.9","35,114.6","35,526.1","34,565.9","11.90M","0.98%"
"27/08/2025","35,046.0","35,663.3","36,486.3","34,840.3","26.86M","-0.20%"
"26/08/2025","35,114.6","33,297.1","35,114.6","33,262.9","14.39M","4.28%"
"25/08/2025","33,674.4","35,320.3","35,388.9","33,468.6","22.73M","-3.54%"
"22/08/2025","34,908.8","35,320.3","36,623.4","34,223.0","35.11M","-1.74%"
"21/08/2025","35,526.1","35,183.2","36,143.3","34,977.4","25.80M","2.37%"
"20/08/2025","34,703.1","34,051.6","35,663.3","33,674.4","22.76M","2.02%"
"19/08/2025","34,017.3","33,537.2","34,154.4","33,502.9","16.99M","2.27%"
"18/08/2025","33,262.9","33,640.1","33,880.1","33,057.1","17.93M","-1.02%"
"15/08/2025","33,605.8","34,840.3","34,908.8","33,468.6","22.86M","-2.39%"
"14/08/2025","34,428.8","34,428.8","35,046.0","34,017.3","27.03M","1.21%"
"13/08/2025","34,017.3","32,988.5","34,017.3","32,337.0","25.60M","3.33%"
"12/08/2025","32,919.9","32,577.0","33,228.6","32,234.1","20.77M","1.05%"
"11/08/2025","32,577.0","32,782.8","32,817.1","32,337.0","12.82M","-0.42%"
"08/08/2025","32,714.2","32,885.6","32,919.9","32,096.9","17.89M","-0.31%"
"07/08/2025","32,817.1","32,919.9","32,919.9","32,199.8","13.24M","0.74%"
"06/08/2025","32,577.0","32,371.3","32,748.5","31,925.5","13.84M","2.15%"
"05/08/2025","31,891.2","31,514.0","33,434.3","31,273.9","34.82M","1.86%"
"04/08/2025","31,308.2","30,176.6","31,376.8","29,902.3","14.03M","3.05%"
"01/08/2025","30,382.4","31,548.3","31,548.3","30,279.5","23.47M","-3.49%"
"31/07/2025","31,479.7","32,577.0","32,577.0","30,896.7","28.05M","-0.65%"
"30/07/2025","31,685.4","30,176.6","32,131.2","30,073.7","32.50M","5.48%"
"29/07/2025","30,039.4","31,411.1","31,582.6","30,039.4","21.31M","-3.95%"
"28/07/2025","31,273.9","31,205.4","31,548.3","31,136.8","15.29M","0.00%"
"25/07/2025","31,273.9","31,411.1","31,685.4","31,171.1","8.01M","-0.22%"
"24/07/2025","31,342.5","31,308.2","31,514.0","30,999.6","7.33M","0.11%"
"23/07/2025","31,308.2","31,342.5","31,445.4","30,725.3","9.16M","0.11%"
"22/07/2025","31,273.9","30,999.6","31,273.9","30,656.7","6.97M","0.88%"
"21/07/2025","30,999.6","31,273.9","31,376.8","30,656.7","9.49M","0.33%"
"18/07/2025","30,896.7","30,862.4","31,239.6","30,553.8","11.99M","0.11%"
"17/07/2025","30,862.4","30,793.9","30,965.3","30,588.1","10.88M","0.11%"
"16/07/2025","30,828.1","30,279.5","30,828.1","30,108.0","8.23M","1.81%"
